step,rank,param_name,norm,mean,max,min
0,0,2.bias,0.12478208541870117,-3.725290298461914e-09,0.061822205781936646,-0.058988045901060104
0,0,2.weight,0.3447208106517792,-3.2378011383116245e-10,0.058223385363817215,-0.056867070496082306
0,0,0.bias,0.04958336800336838,-0.00042007339652627707,0.011353579349815845,-0.01129162311553955
0,0,0.weight,0.7975249886512756,-0.0002100426354445517,0.011655161157250404,-0.011560825631022453
1,0,2.bias,0.12071207165718079,-3.259629011154175e-09,0.06000593677163124,-0.057559091597795486
1,0,2.weight,0.33650097250938416,-5.238689482212067e-10,0.05734209343791008,-0.05539524182677269
1,0,0.bias,0.048028312623500824,-0.0005288139218464494,0.010915761813521385,-0.013046556152403355
1,0,0.weight,0.7788143754005432,-0.0002648946538101882,0.011439771391451359,-0.012020926922559738
2,0,2.bias,0.11679600179195404,-4.190951585769653e-09,0.058214932680130005,-0.05619699880480766
2,0,2.weight,0.3292017877101898,-3.41970007866621e-10,0.056437283754348755,-0.05441369116306305
2,0,0.bias,0.04808717966079712,-0.0006115005817264318,0.011843165382742882,-0.013485467992722988
2,0,0.weight,0.7797833681106567,-0.0003057592548429966,0.01148543506860733,-0.012330163270235062
3,0,2.bias,0.11293432861566544,-1.1641532182693481e-09,0.056501634418964386,-0.0548284687101841
3,0,2.weight,0.32239070534706116,-2.764863893389702e-10,0.05555747076869011,-0.05389130488038063
3,0,0.bias,0.045084379613399506,-0.0006540680769830942,0.010560278780758381,-0.013088892214000225
3,0,0.weight,0.7435716390609741,-0.0003271204186603427,0.011400795541703701,-0.01144642848521471
4,0,2.bias,0.10928011685609818,-6.984919309616089e-10,0.05494779348373413,-0.05344236642122269
4,0,2.weight,0.3162432909011841,5.820766091346741e-11,0.054776426404714584,-0.05337737128138542
4,0,0.bias,0.04408418759703636,-0.0006978517631068826,0.009747663512825966,-0.01272786594927311
4,0,0.weight,0.731664776802063,-0.00034963907091878355,0.010578593239188194,-0.010981321334838867
0,1,2.bias,0.14823055267333984,-3.725290298461914e-09,0.06620768457651138,-0.08071774989366531
0,1,2.weight,0.3843236565589905,-2.1827872842550278e-10,0.05923696607351303,-0.08324313908815384
0,1,0.bias,0.06523114442825317,0.0012589285615831614,0.018257662653923035,-0.012845211662352085
0,1,0.weight,0.992121160030365,0.0006206474499776959,0.01553412340581417,-0.012840514071285725
0,0,2.bias,0.10872256755828857,9.313225746154785e-10,0.05241679400205612,-0.05285179987549782
0,0,2.weight,0.31852418184280396,3.587956598494202e-10,0.044775065034627914,-0.047270018607378006
0,0,0.bias,0.04867969825863838,0.00017869762086775154,0.014050169847905636,-0.01496543362736702
0,0,0.weight,0.7885061502456665,8.634868572698906e-05,0.011769250966608524,-0.012879586778581142
1,1,2.bias,0.1424448937177658,-9.313225746154785e-10,0.06433819979429245,-0.07735951244831085
1,1,2.weight,0.36636099219322205,1.1641532182693481e-10,0.05755617842078209,-0.08041094243526459
1,1,0.bias,0.06025875359773636,0.001098235254175961,0.017489830031991005,-0.011138472706079483
1,1,0.weight,0.9280247092247009,0.0005402346141636372,0.015080656856298447,-0.011428446508944035
1,0,2.bias,0.10454384982585907,-9.313225746154785e-10,0.05005986988544464,-0.050772666931152344
1,0,2.weight,0.3077773153781891,-2.1100277081131935e-10,0.04281329736113548,-0.04650619626045227
1,0,0.bias,0.04586722329258919,0.00015426681784447283,0.012273682281374931,-0.01386127807199955
1,0,0.weight,0.7549455165863037,7.38346207072027e-05,0.011540661565959454,-0.012586910277605057
2,0,2.bias,0.10059953480958939,-1.3969838619232178e-09,0.04788508266210556,-0.04877098277211189
2,0,2.weight,0.2981809377670288,-1.6007106751203537e-10,0.0412147082388401,-0.04576084762811661
2,0,0.bias,0.0453941635787487,0.00011399801587685943,0.011962617747485638,-0.017090214416384697
2,0,0.weight,0.7483282089233398,5.374632019083947e-05,0.010764832608401775,-0.014670655131340027
2,1,2.bias,0.13715815544128418,-2.7939677238464355e-09,0.0626358911395073,-0.0742497593164444
2,1,2.weight,0.35103997588157654,-1.8917489796876907e-10,0.056064389646053314,-0.07784990221261978
2,1,0.bias,0.05624356120824814,0.0009424093295820057,0.01772809587419033,-0.010092710144817829
2,1,0.weight,0.876329243183136,0.0004630649054888636,0.014865675941109657,-0.011250712908804417
3,1,2.bias,0.1322842240333557,0.0,0.06102051958441734,-0.07138518244028091
3,1,2.weight,0.3378852605819702,2.0372681319713593e-10,0.05468403548002243,-0.07554212212562561
3,1,0.bias,0.05267733708024025,0.0007954614702612162,0.016439244151115417,-0.010246931575238705
3,1,0.weight,0.8309441804885864,0.0003894089604727924,0.014407113194465637,-0.01112964004278183
3,0,2.bias,0.09677121788263321,-1.3969838619232178e-09,0.04623623564839363,-0.04681563004851341
3,0,2.weight,0.28933486342430115,-2.473825588822365e-10,0.040096137672662735,-0.045018140226602554
3,0,0.bias,0.04213089495897293,0.00012817117385566235,0.012094871141016483,-0.013545077294111252
3,0,0.weight,0.7091997861862183,6.044255496817641e-05,0.010508942417800426,-0.013346482999622822
4,1,2.bias,0.12775354087352753,-9.313225746154785e-10,0.059439003467559814,-0.06866762787103653
4,1,2.weight,0.3264985978603363,-2.0736479200422764e-10,0.053367383778095245,-0.07339955866336823
4,1,0.bias,0.05045311152935028,0.0007535790791735053,0.01644008606672287,-0.009946023114025593
4,1,0.weight,0.8033522963523865,0.00036931069917045534,0.014563200995326042,-0.011005830951035023
4,0,2.bias,0.09319595992565155,0.0,0.044756826013326645,-0.0450022928416729
4,0,2.weight,0.28130918741226196,-2.0372681319713593e-10,0.039042726159095764,-0.044329315423965454
4,0,0.bias,0.040552251040935516,1.4885401469655335e-05,0.011478290893137455,-0.0130063621327281
4,0,0.weight,0.6901834011077881,2.957975084427744e-06,0.010273942723870277,-0.012462134473025799
0,1,module.2.bias,0.1216566413640976,-1.6298145055770874e-09,0.0515764057636261,-0.08838284015655518
0,1,module.2.weight,0.3109232187271118,-1.1596057447604835e-10,0.046046946197748184,-0.07363463938236237
0,1,module.0.bias,0.054866839200258255,0.0004755273985210806,0.013751436024904251,-0.015776725485920906
0,1,module.0.weight,0.8597366213798523,0.0002346947876503691,0.012797318398952484,-0.014091173186898232
0,0,module.2.bias,0.12432863563299179,0.0,0.07286646217107773,-0.05249295011162758
0,0,module.2.weight,0.32072368264198303,-6.002665031701326e-11,0.056646618992090225,-0.05302166938781738
0,0,module.0.bias,0.05460707098245621,0.00014028087025508285,0.01931637153029442,-0.013318334706127644
0,0,module.0.weight,0.8529744744300842,7.248649490065873e-05,0.01573365367949009,-0.012494041584432125
1,1,module.2.bias,0.11858861148357391,4.656612873077393e-10,0.04937425255775452,-0.08698054403066635
1,1,module.2.weight,0.30240482091903687,1.382431946694851e-10,0.04359087347984314,-0.07121819257736206
1,1,module.0.bias,0.052791841328144073,0.0003410125500522554,0.012595993466675282,-0.015057803131639957
1,1,module.0.weight,0.833605945110321,0.0001683245791355148,0.01226885337382555,-0.013038246892392635
1,0,module.2.bias,0.12101909518241882,0.0,0.07069206237792969,-0.05089447274804115
1,0,module.2.weight,0.31193339824676514,-4.3655745685100555e-11,0.05483029782772064,-0.05097828432917595
1,0,module.0.bias,0.05208129808306694,5.349465936888009e-05,0.016261432319879532,-0.013268270529806614
1,0,module.0.weight,0.8214378952980042,2.92437216558028e-05,0.014881870709359646,-0.012461940757930279
2,1,module.2.bias,0.11575289815664291,-9.313225746154785e-10,0.04738219454884529,-0.0856219008564949
2,1,module.2.weight,0.29507771134376526,2.1827872842550278e-11,0.04139721393585205,-0.06895950436592102
2,1,module.0.bias,0.05151091888546944,0.0002443497651256621,0.011674187146127224,-0.014771618880331516
2,1,module.0.weight,0.8174363970756531,0.0001203587744385004,0.012069721706211567,-0.01287118997424841
2,0,module.2.bias,0.11801455914974213,9.313225746154785e-10,0.06867414712905884,-0.04937744140625
2,0,module.2.weight,0.3043762743473053,-1.6007106751203537e-10,0.05314226076006889,-0.04909215494990349
2,0,module.0.bias,0.05125458166003227,-2.9259666916914284e-05,0.015838101506233215,-0.013219986110925674
2,0,module.0.weight,0.8110082745552063,-1.1895634088432416e-05,0.014629516750574112,-0.012430861592292786
3,1,module.2.bias,0.11311475187540054,2.3283064365386963e-10,0.04552510380744934,-0.0843377560377121
3,1,module.2.weight,0.2886351943016052,-1.5279510989785194e-10,0.03939545527100563,-0.06686461716890335
3,1,module.0.bias,0.04883010685443878,0.00022961765353102237,0.011395767331123352,-0.014307999983429909
3,1,module.0.weight,0.7840957641601562,0.00011241251195315272,0.011880742385983467,-0.012709678150713444
3,0,module.2.bias,0.11523376405239105,-9.313225746154785e-10,0.06677593290805817,-0.04793337732553482
3,0,module.2.weight,0.29770106077194214,-2.1827872842550278e-10,0.05155353993177414,-0.047344014048576355
3,0,module.0.bias,0.05046141892671585,-4.178268136456609e-05,0.015446523204445839,-0.013174760155379772
3,0,module.0.weight,0.8003628849983215,-1.8354839994572103e-05,0.014395934529602528,-0.012401939369738102
4,0,module.2.bias,0.11265135556459427,-3.725290298461914e-09,0.06496593356132507,-0.046757880598306656
4,0,module.2.weight,0.2917545735836029,-4.965841071680188e-10,0.05003717541694641,-0.04571593552827835
4,0,module.0.bias,0.04965376481413841,-0.00011149377678520977,0.015083042904734612,-0.013124250806868076
4,0,module.0.weight,0.7901206016540527,-5.240095197223127e-05,0.014178379438817501,-0.012370499782264233
4,1,module.2.bias,0.11067348718643188,0.0,0.043793924152851105,-0.08314137905836105
4,1,module.2.weight,0.2828720211982727,1.0913936421275139e-11,0.03756653517484665,-0.06493233889341354
4,1,module.0.bias,0.04736669361591339,0.00022569239081349224,0.011132871732115746,-0.01175615657120943
4,1,module.0.weight,0.7660373449325562,0.00011133475345559418,0.011753412894904613,-0.011797700077295303
0,0,module.lm_head.weight,18.25,-0.0,2.28125,-2.609375
0,0,module.model.norm.weight,0.7373046875,0.0008978843688964844,0.501953125,-0.038238525390625
0,0,module.model.layers.31.mlp.down_proj.weight,11.484375,-1.1920928955078125e-07,0.30908203125,-0.317626953125
0,0,module.model.layers.31.mlp.up_proj.weight,6.19921875,-1.1920928955078125e-07,0.38720703125,-0.394775390625
0,0,module.model.layers.31.mlp.gate_proj.weight,4.02734375,0.0,0.325927734375,-0.1768798828125
0,0,module.model.layers.31.post_attention_layernorm.weight,2.21484375,-0.0020618438720703125,1.9072265625,-0.443603515625
0,0,module.model.layers.31.self_attn.o_proj.weight,2.712890625,0.0,0.02557373046875,-0.025421142578125
